name,link,price,image
"Букет ""Мусси""",/catalog/bukety/buket-mussi/,от 1 550 ₽,/upload/iblock/d61/3tnhnjvn50rihe07jqwpkjjldg0kclyo.jpg
Букет №1,/catalog/bukety/buket-1/,от 1 650 ₽,/upload/iblock/a24/ygclr6pshiqtj54g978gd0gpy8kgi6lf.jpg
Букет №2,/catalog/bukety/buket-2/,от 1 650 ₽,/upload/iblock/622/wsgvwoozupoc3feq5ykvzbrl6bqd69ci.jpg
Букет №3,/catalog/bukety/buket-3/,от 1 650 ₽,/upload/iblock/221/8vz8qzs2flzk2dvgfwrplbiqb6hq2npr.jpg
Букет №4,/catalog/bukety/buket-4/,от 1 650 ₽,/upload/iblock/946/9eb4nmxuhfcn1ritf3v2y36o8k23q4bd.jpg
Букет №5,/catalog/bukety/buket-5/,от 1 650 ₽,/upload/iblock/bfd/97irkcho4w0vd27t41qdc99qvnyg7c90.jpg
Букет №7,/catalog/bukety/buket-7/,от 3 350 ₽,/upload/iblock/dff/htn1l5s3r0o5912b2r7a6z03v0luiqx8.jpg
Букет №8,/catalog/bukety/buket-8/,от 2 800 ₽,/upload/iblock/0e6/98rchdo0or68ky2m4zpn8e7uxfyw15lt.jpg
Букет №9,/catalog/bukety/buket-9/,от 5 550 ₽,/upload/iblock/7b8/wqhv995otefe68tndkzd3qwf68cegmh1.jpg
Букет 25 красных роз,/catalog/bukety/buket-25-krasnykh-roz/,от 5 250 ₽,/upload/iblock/cb1/fw03w0c5w4a0t7pjk9mndgax1u0g988u.jpg
"Ящик ""Аметист""",/catalog/bukety/yashchik-ametist/,от 5 000 ₽,/upload/iblock/9a0/3yvobum8sjss7pi5lrngkbx6fo7nvtfp.jpg
"Букет ""Котята""",/catalog/bukety/buket-kotyata/,от 3 500 ₽,/upload/iblock/60b/g6cl8w3cs073dlskor1og1ovfyh72206.jpg
"Букет ""Мармеладки""",/catalog/bukety/buket-marmeladki/,от 3 500 ₽,/upload/iblock/262/a9kjwhi9d11saopkbbkswliuy3it7j7u.jpg
"Букет ""Волшебные зефирки""",/catalog/bukety/buket-volshebnye-zefirki/,от 20 000 ₽,/upload/iblock/c8d/kuxs5nfzhofzcgbt0p8dbujz2tzsfb1r.jpg
"Букет ""Поппи""",/catalog/bukety/buket-poppi/,от 15 000 ₽,/upload/iblock/075/rt0ctao2fge3jwucmod3gj8gtinifoab.jpg
"Букет ""Тоадетт""",/catalog/bukety/buket-toadett/,от 15 000 ₽,/upload/iblock/d28/0id990qlk1simh9or94a3nxl39ilw3yd.jpg
